Annotation_Accession,host,isolation_source,Manual_Annotation
GCF_006007945.1_ASM600794v1,NA,futsai,Food
GCF_012568245.1_ASM1256824v1,Donacia thalassina,Beetle Malpighian tubules,Animals
GCF_001549815.1_XFAS003-SEQ-2-ASM-1,Coffea,leaf,Agriculture
GCF_008327825.1_ASM832782v1,NA,Gingivitis,Humans
GCF_000239475.1_ASM23947v1,Ixodes persulcatus,female tick,Animals
GCF_003515605.1_ASM351560v1,Solanum tuberosum,Potato bacterial wilt,Agriculture
GCF_003408875.1_ASM340887v1,Sus scrofa,palatine tonsil,Livestock
GCF_000658965.1_ASM65896v1,Actinidia,NA,Agriculture
GCF_003071405.1_ASM307140v1,NA,NA,NA
GCF_002706325.1_ASM270632v1,Cereibacter sphaeroides 2.4.1,NA,Freshwater
GCF_002327205.1_ASM232720v1,Bos taurus,tissue samples,Livestock
GCF_001701835.2_ASM170183v2,Homo sapiens,Stool,Humans
GCF_002847305.1_ASM284730v1,Tegillarca granosa,NA,Animals
GCF_000195935.2_ASM19593v2,NA,NA,NA
GCF_002165305.2_ASM216530v2,NA,Sewage,Human-impacted
GCF_008931805.1_ASM893180v1,NA,seawater,Marine
GCF_000319105.1_ASM31910v1,NA,NA,NA
GCF_009797665.1_ASM979766v1,NA,NA,NA
GCF_009617995.1_ASM961799v1,NA,ENVO:01001050,Sediment
GCF_006965545.2_ASM696554v2,Suaeda salsa,NA,Plants
GCF_002162055.1_ASM216205v1,piglet,duodenum mucosa,Livestock
GCF_000007885.1_ASM788v1,NA,NA,NA
GCF_001687125.1_ASM168712v1,Homo sapiens,Perirectal swab,Humans
GCF_002243605.1_ASM224360v1,NA,high-temperature oilfield,Human-impacted
GCF_900087625.2_WHOO,NA,NA,NA
GCF_000188735.1_ASM18873v1,NA,NA,NA
GCF_009938285.1_ASM993828v1,Homo sapiens,NA,Humans
GCF_009363355.1_ASM936335v1,NA,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C,Human-impacted
GCF_002933315.1_ASM293331v1,Edessa sp.,NA,Animals
GCF_006094375.1_ASM609437v1,NA,NA,NA
GCF_000953735.1_MVIS1,NA,NA,NA
GCF_013201075.1_ASM1320107v1,Cladonia borealis,lichen,Plants
GCF_002740845.1_ASM274084v1,Homo sapiens,fecal screen,Humans
GCF_002164635.4_ASM216463v4,Homo sapiens,NA,Humans
GCF_001543055.1_ASM154305v1,rice,environmental,Agriculture
GCF_000055945.1_ASM5594v1,Sus scrofa,NA,Livestock
GCF_005979285.1_ASM597928v1,Pig,faecal swab,Livestock
GCF_004919285.1_ASM491928v1,Homo sapiens,NA,Humans
GCF_007753455.1_ASM775345v1,NA,iron hydroxide deposits,Terrestrial
GCF_002105555.1_ASM210555v1,NA,water,Freshwater
GCF_003994455.1_ASM399445v1,pig,feces,Livestock
GCF_001578105.1_ASM157810v1,NA,petroleum-contaminated soil with high salinity,Human-impacted
GCF_000512275.1_ASM51227v1,NA,wastewater treatment,Human-impacted
GCF_900249755.1_CBM2587,NA,NA,NA
GCF_002852365.2_ASM285236v2,Homo sapiens,NA,Humans
GCF_002888715.1_ASM288871v1,NA,cleaning system aquaculture,Human-impacted
GCF_001278435.1_ASM127843v1,Tragelaphus strepsiceros,NA,Animals
GCF_009731445.1_ASM973144v1,Apis mellifera,NA,Animals
GCF_009909365.1_ASM990936v1,Homo sapiens,blood,Humans
GCF_004794815.2_ASM479481v2,NA,Enviornmental,NA
GCF_004103475.1_ASM410347v1,NA,food,Food
GCF_001515665.1_ASM151566v1,NA,From patient with pneumonia,Humans
GCF_000262755.1_ASM26275v1,NA,NA,NA
GCF_001664405.1_ASM166440v1,Phaseolus vulgaris,legume-root nodule,Agriculture
GCF_001593305.1_ASM159330v1,Botryllus sp.,NA,Animals
GCF_005221745.1_ASM522174v1,NA,cattle,Livestock
GCF_002407145.1_ASM240714v1,NA,chicken breast,Food
GCF_000756415.3_ASM75641v3,Oncorhynchus kisutch,NA,Animals
GCF_001183805.1_ASM118380v1,Homo sapiens,NA,Humans
GCF_005222125.1_ASM522212v1,Apis mellifera,diseased honeybee,Animals
GCF_000011805.1_ASM1180v1,NA,NA,NA
GCF_013167355.1_ASM1316735v1,Homo sapiens,NA,Humans
GCF_004135105.1_ASM413510v1,Neophocaena asiaeorientalis,NA,Animals
GCF_000223905.1_ASM22390v1,NA,NA,NA
GCF_003071305.1_ASM307130v1,NA,NA,NA
GCF_000583045.1_ASM58304v1,NA,NA,NA
GCF_900520335.1_ASM90052033v1,NA,NA,NA
GCF_001077655.1_ASM107765v1,Homo sapiens,blood,Humans
GCF_013375835.1_ASM1337583v1,Homo sapiens,endotracheal tube (ETT) or tracheostomy tube,Humans
GCF_003342675.1_ASM334267v1,NA,solar salt,Terrestrial
GCF_009268135.1_ASM926813v1,NA,NA,NA
GCF_001456315.1_ASM145631v1,Hibiscus,Plant xylem,Plants
GCF_000015985.1_ASM1598v1,NA,NA,NA
GCF_001191565.1_ASM119156v1,NA,Koumiss,Food
GCF_000153625.1_ASM15362v1,NA,NA,NA
GCF_012849555.1_ASM1284955v1,NA,Flower of Forsythia koreana,Plants
GCF_000742875.1_ASM74287v1,NA,NA,NA
GCF_011065345.1_ASM1106534v1,Homo sapiens,feces,Humans
GCF_001648215.1_ASM164821v1,Homo sapiens,NA,Humans
GCF_004103655.1_ASM410365v1,NA,food,Food
GCF_000239975.1_ASM23997v1,NA,NA,NA
GCF_009914015.1_ASM991401v1,NA,Soybean paste (Chonggugjang),Food
GCF_000765415.1_ASM76541v1,Homo sapiens,NA,Humans
GCF_901827155.1_ASM90182715v1,NA,linuron-contaminated soil,Human-impacted
GCF_003627485.2_ASM362748v2,Homo sapiens,blood,Humans
GCF_002633985.1_ASM263398v1,cattle,NA,Livestock
GCF_005491525.1_ASM549152v1,NA,air,Terrestrial
GCF_000148405.1_ASM14840v1,grape,NA,Agriculture
GCF_001806485.1_ASM180648v1,Homo sapiens,Wound,Humans
GCF_003595425.1_ASM359542v1,Homo sapiens,Urine,Humans
GCF_010586925.1_ASM1058692v1,NA,NA,NA
GCF_002197085.1_ASM219708v1,Medicago truncatula,NA,Plants
GCF_013341395.1_ASM1334139v1,Homo sapiens,urine specimens,Humans
GCF_004919535.4_ASM491953v4,NA,sediment,Sediment
GCF_000318545.1_ASM31854v1,NA,NA,NA
GCF_002220265.1_ASM222026v1,Homo sapiens,Stool,Humans
GCF_012955485.1_ASM1295548v1,Homo sapiens,feces,Humans
GCF_009930835.1_ASM993083v1,Homo sapiens,Blood and wound,Humans
GCF_013344685.1_ASM1334468v1,NA,mineral salt medium,Human-impacted
GCF_000833165.1_ASM83316v1,NA,Blood,Humans
GCF_003795145.1_ASM379514v1,NA,kimchi,Food
GCF_006542355.1_ASM654235v1,Allamanda cathartica,Plant,Plants
GCF_002251025.2_ASM225102v2,NA,Mashed potatoes,Food
GCF_002205415.1_ASM220541v1,NA,soil,Soil
GCF_000816025.1_ASM81602v1,NA,soil,Soil
GCF_001651965.2_ASM165196v2,Bos taurus,fecal steer,Livestock
GCF_009363555.1_ASM936355v1,NA,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C,Human-impacted
GCF_007814625.1_ASM781462v1,NA,Milker's hand,Humans
GCF_001729825.1_ASM172982v1,Homo sapiens,Right conjunctiva of a child with trachoma,Humans
GCF_011465255.1_ASM1146525v1,Homo sapiens,Sputum sample,Humans
GCF_003076375.1_ASM307637v1,NA,Sheep placental tissue,Livestock
GCF_001902215.1_ASM190221v1,Homo sapiens,Urine,Humans
GCF_006802875.1_ASM680287v1,environmental,NA,NA
GCF_009892345.1_ASM989234v1,Homo sapiens,Ascites liquid,Humans
GCF_011493005.1_ASM1149300v1,NA,soil,Soil
GCF_009883835.1_ASM988383v1,Penaeus japonicus,AHPND infected Penaeus japonicus,Animals
GCF_013341075.1_ASM1334107v1,NA,NA,NA
GCF_000022845.1_ASM2284v1,NA,NA,NA
